question,keywords,answer
Campus Facilities at the University of Ibadan,Campus Facilities at the University of Ibadan; University of Ibadan campus facilities; campus amenities; UI facilities; ui clubs; uni ibadan clubs; university of ibadan clubs; Campus services; University of Ibadan facilities; campus infrastructure,"{'Accommodation': ['Halls of residence are available for students, such as Idia Hall (female), Awo Hall (male), and Queens Hall (female).', 'Well-furnished guest houses are provided for international visitors and scholars.'], 'Kenneth Dike Library': ['A central library offering extensive academic resources across all faculties.'], 'Sports Council': ['Facilities include athletics tracks, basketball courts, swimming pools, tennis courts, and squash courts.', 'UI participates in NUGA competitions at national and international levels.'], 'Zoological & Botanical Gardens': ['The Zoological Garden serves as a recreational and educational facility.', 'The Botanical Garden provides a serene environment for study and relaxation while showcasing rare plant species.'], 'ICT Support': ['ICT support is available for teaching, research, and publications.'], 'Arts Theatre': ['Hosts cultural events and performances by students and professionals.'], 'Awba Dam': ['A scenic spot for relaxation and quiet study.'], 'Health Services': ['A well-equipped health center provides medical services to students at affordable rates.'], 'Cafeterias & Restaurants': ['Multiple eateries across campus offer affordable meals catering to diverse tastes.'], 'Bookshops': ['On-campus bookshops provide academic materials at subsidized rates.'], 'Lecture Halls & Auditoriums': ['Modern lecture halls equipped with audio-visual aids ensure effective learning experiences.'], 'Wi-Fi Connectivity': ['Wi-Fi is available in key areas like the library and halls of residence.'], 'Transportation System': ['Shuttle buses operate within the campus for easy movement.'], 'Banking Facilities': ['Several banks have branches or ATMs on campus for financial transactions.'], 'Student Union Building (SUB)': ['A hub for student activities, meetings, events, and relaxation.'], 'Heritage Park': ['A recreational area where various student events are held.'], 'Aquarium Facility': ['Enhances biodiversity education on campus.'], 'Research Centers & Laboratories': ['Equipped with state-of-the-art facilities for research across various disciplines.'], 'Literary & Debate Society': ['Part of the registered clubs under the Sports Council that fosters intellectual engagement through debates.']}"
Academic & Professional Clubs University of Ibadan,Academic and Professional Clubs University of Ibadan; University of Ibadan academic clubs; professional clubs; student clubs; Academic clubs; Professional organizations; University of Ibadan clubs; ui clubs; uni ibadan clubs; university of ibadan clubs,"University of Ibadan Literary and Debating Society (UILDS): Focuses on literature, writing, and debate. Organizes literary readings, writing workshops, and debates. | Student Finance Club: Prepares members for success in professional finance through workshops and networking opportunities. | Association of Civil Engineering Students: A professional organization for civil engineering students. | International Association of Agricultural Students: A professional organization for agricultural students. | International Veterinary Student Association: A professional organization for veterinary students. | Federation of African Medical Students Association: A professional organization for medical students. | Society for Aeronautics & Astronautics: A professional organization for aeronautics and astronautics students. | Society of Electrical/Electronics Engineering Students: A professional organization for electrical and electronics engineering students."
Technology & Innovation Clubs at the University of Ibadan,ui clubs; Technology and Innovation Clubs at the University of Ibadan; Technology Clubs; Innovation Clubs; University of Ibadan tech clubs; Technology and innovation organizations UI; tech and innovation clubs; Innovation clubs at University of Ibadan; ui clubs; uni ibadan clubs; university of ibadan clubs,"Google Developer Groups on Campus (GDGoC): Focuses on Google developer technologies, providing a platform for students to learn and network. | AIESEC: Offers leadership development, cross-cultural internships, and volunteer exchange experiences. | Wikimedia Fan Club University of Ibadan: Promotes Wikimedia projects among students through events like edit-a-thons and Wikipedia Education programs."
Cultural & Social Clubs at the University of Ibadan,Cultural and Social Clubs at the University of Ibadan; Cultural Clubs; Social Clubs; University of Ibadan cultural organizations; University of Ibadan social clubs; Cultural clubs; Social clubs; ui clubs; uni ibadan clubs; university of ibadan clubs,"Sigma Club: The oldest students' organization in Sub-Saharan Africa, known for its social and philanthropic activities. | Folk Heritage: Promotes cultural heritage and traditional practices. | Esan Students Association of Nigeria: A cultural organization for Esan students. | Federation of Ijesa Students Union: A cultural organization for Ijesa students. | National Association of Abia State Students: A cultural organization for Abia State students. | Igbo College Old Boys Association (ICOB): A forum for alumni of Igbo College. | King’s College Old Boys Association: A forum for alumni of King’s College. | Loyola College Old Boys’ Association: A forum for alumni of Loyola College. | Remo Secondary School Old Students Association: A forum for alumni of Remo Secondary School."
Community Service & Advocacy at the University of Ibadan,Community Service and Advocacy at the University of Ibadan; community service; University of Ibadan advocacy; Community outreach; student advocacy; Advocacy programs; University community initiatives,"Rotaract Club of University of Ibadan: A service-oriented organization focused on community service, professional development, and fostering goodwill. | Junior Chamber International (JCI) UI: Empowers young people to create positive change through leadership development and community service. | Child’s Rights Awareness Campaign Organization: Advocates for children's rights and awareness. | Coalition for Public Accountability & Development: Focuses on promoting public accountability and development. | Students Alliance for Peace: Promotes peace and conflict resolution among students. | Students Peace Vanguard: Focuses on promoting peace and harmony on campus. | HIV/AIDS Prevention Promotion Youth Club (HAPPY CLUB): Raises awareness about HIV/AIDS prevention. | Campus Drug Free Club: Promotes a drug-free lifestyle among students."
Religious Organizations at the University of Ibadan,Religious Organizations at the University of Ibadan; Religious Organizations; University of Ibadan religious groups; faith-based organizations; Religious clubs; Spiritual organizations; University religious bodies,Adventist Student Fellowship: A religious organization for Adventist students. | Ahmadi Muslim Students Association: A religious organization for Ahmadi Muslim students. | Anglican Students’ Fellowship (ASF): A religious organization for Anglican students. | Believers Forum UI: A religious organization for Christian students. | Celestial Church of Christ Student Fellowship: A religious organization for Celestial Church members. | Christian Law Students Association: A religious organization for Christian law students. | Christian League International: A religious organization promoting Christian values. | Foursquare Students Fellowship: A religious organization for Foursquare Gospel Church students. | Gospel Students’ Fellowship: A religious organization for Christian students. | Holiness Campus Fellowship: A religious organization promoting holiness and spiritual growth. | Holy Ghost Incorporated: A religious organization for Holy Ghost members. | Muslim Students Society of Nigeria UI: A religious organization for Muslim students. | Salvation & Praise Assembly: A religious organization promoting worship and praise. | Scripture Union Campus Fellowship: A religious organization for Christian students. | Student Christian Movement of Nigeria: A religious organization for Christian students.
Sports & Fitness Clubs at the University of Ibadan,Sports and Fitness Clubs at the University of Ibadan; Sports Clubs; University of Ibadan Fitness Clubs; Athletic Clubs; Sports Organizations; Fitness and Sports; University of Ibadan sports and fitness; ui clubs; uni ibadan clubs; university of ibadan clubs,Sports Africonados: Promotes sports and physical fitness.
Environmental & Sustainability Clubs,Environmental & Sustainability Clubs; Environmental Clubs; Sustainability Clubs; Eco Clubs; Green Clubs; University Environmental Organizations; Sustainability Organizations; UI Environmental Clubsui clubs; uni ibadan clubs; university of ibadan clubs,Club Environmentalist: Promotes environmental awareness and sustainability. | Environmental Health Student Association: Promotes environmental health awareness and practices. | Green Foundation: Promotes environmental sustainability and conservation. | Forest Resources Management Students’ Association (TREE CLUB): Focuses on forestry and environmental conservation.
Entertainment & Networking at the University of Ibadan,Entertainment and Networking; ui Entertainment; uni ibadan Entertainment; University of Ibadan Entertainment; UI Networking; uni ibadan networking; Networking Events; Entertainment Clubs; Social Networking,Crystal Entertainment: Organizes entertainment events and activities. | S-Cube Entertainment: Organizes entertainment events and activities. | Kegites Club: A social club promoting camaraderie and entertainment. | KLOBB 41: A social club promoting entertainment and networking. | Mess Club: A social club promoting entertainment and relaxation.
Security Division at University of Ibadan,Security Division at University of Ibadan; Security Division; University of Ibadan Security; Campus Security; Security Services; University Security Division; Campus Safety,"The University of Ibadan has a dedicated Security Division located between Queen Elizabeth Hall and the Bursary Department. | This division enforces university regulations and protects lives and properties on campus. | Security personnel wear distinctive uniforms: gold shirts, indigo blue trousers, and blue/black berets with the university emblem."
Emergency Response at the University of Ibadan,Emergency Response at University of Ibadan; Emergency Response; University of Ibadan emergency services; Campus emergency response; emergency procedures; University of Ibadan safety protocols; crisis management,"In case of emergencies such as fires, accidents, or crimes, incidents are reported to the Security Division. | The Security Division either handles the incident directly or escalates it to the police for further investigation. | Fire extinguishers are installed in departments and halls of residence as a precautionary measure."
Mobile Phone Links at the University of Ibadan,Mobile Phone Links at University of Ibadan; Mobile Phone Links; University of Ibadan Phone Contacts; Mobile Contact Numbers; Emergency Phone Links; Campus Phone Links; University of Ibadan Mobile Contacts,"The Security Division provides mobile phone numbers for emergency contact, ensuring a quick response to security breaches."
Armed Police Patrols at the University of Ibadan,Armed Police Patrols at University of Ibadan; Armed Police Patrols; University of Ibadan Police Patrols; Campus Police Patrols; Armed Security Patrols; University Armed Patrols; Armed Security,The university collaborates with armed police for patrolling the campus. | Random security checks and surveillance are conducted to enhance security.
Security Breaches and Measures at the University of Ibadan,Security Breaches and Measures at University of Ibadan; Security Breaches; University of Ibadan Security Measures; Campus Security Incidents; Security Protocols; Security Measures; University of Ibadan Incident Management,"Despite security efforts, incidents like thefts and unauthorized access have been reported. | Security measures include screening visitors at female halls and restricting male visitors."
Challenges and Criticisms at the University of Ibadan,Challenges and Criticisms at University of Ibadan; UI Challenges; uni ibadan challenges; university of ibadan challengesUniversity of Ibadan Criticisms; UI Issues; uni ibadan issues; university of ibadan issuesCampus Challenges; Criticisms of University of Ibadan; UI Problems,"Concerns exist regarding the effectiveness of the security system. | Reports of security personnel being untrustworthy or inefficient have led to calls for reforms. | Campus journalists have accused security personnel of misconduct, including assault and confiscation of personal items."
Recent Incidents and Reforms at the University of Ibadan,Recent Incidents and Reforms at University of Ibadan; Recent Incidents; University of Ibadan Reforms; Campus Incidents and Reforms; Incident Reforms; University Reforms; Recent UI Security Reforms,"Security personnel have been implicated in recent incidents, raising concerns about accountability. | Students and journalists have called for disciplinary action and better training for security operatives."
Recommendations for Improvement at the University of Ibadan,Recommendations for Improvement at University of Ibadan; Improvement Recommendations; University of Ibadan Improvement Suggestions; Improvement Measures; Campus Improvement; University Enhancement Recommendations; UI Recommendations,Regular training and monitoring of security personnel to improve effectiveness. | Enhancing intelligence gathering to detect and prevent potential threats. | Strengthening community engagement to build trust and encourage student participation in security measures. | Integrating technology such as mobile safety apps for faster emergency response and anonymous incident reporting.
Accreditation Status of Courses at University of Ibadan,Accreditation Status of Courses at University of Ibadan; Course Accreditation; University of Ibadan accreditation status; Accredited Courses; UI Accreditation; Uni Ibadan Accreditation; University of Ibadan Accreditation; University Course Accreditation; Accreditation Details University of Ibadan,"{'Faculty of Agriculture and Forestry': {'Agriculture': 'Full accreditation', 'Fisheries and Aquaculture': 'Interim accreditation', 'Forestry and Wildlife Management': 'Interim accreditation'}, 'Faculty of Arts': {'Arabic': 'Full accreditation', 'Communication and Language Arts': 'Full accreditation', 'History': 'Full accreditation', 'Philosophy': 'Full accreditation', 'Religious Studies': 'Full accreditation'}, 'Faculty of Education': {'Adult Education': 'Full accreditation', 'Educational Management': 'Full accreditation', 'Guidance and Counselling': 'Full accreditation', 'Library and Information Science': 'Full accreditation'}, 'College of Medicine': {'Anatomy': 'Full accreditation', 'Biochemistry': 'Full accreditation', 'Community Medicine': 'Full accreditation', 'Medicine and Surgery': 'Full accreditation', 'Veterinary Medicine': 'Full accreditation'}, 'Faculty of Pharmacy': {'Pharmacy': 'Full accreditation'}, 'Faculty of Science': {'Biochemistry': 'Full accreditation', 'Botany': 'Full accreditation', 'Chemistry': 'Full accreditation', 'Computer Science': 'Full accreditation', 'Geology': 'Full accreditation', 'Mathematics': 'Full accreditation', 'Microbiology': 'Full accreditation', 'Physics': 'Full accreditation', 'Statistics': 'Full accreditation', 'Zoology': 'Full accreditation'}, 'Faculty of Social Sciences': {'Economics': 'Full accreditation', 'Geography': 'Full accreditation', 'Mass Communication': 'Full accreditation', 'Political Science': 'Full accreditation', 'Psychology': 'Full accreditation', 'Sociology': 'Full accreditation'}, 'Faculty of Law': {'Law': 'Full accreditation'}, 'Faculty of Technology': {'Agricultural and Environmental Engineering': 'Full accreditation', 'Civil Engineering': 'Full accreditation', 'Electrical and Electronics Engineering': 'Full accreditation', 'Food Technology': 'Full accreditation', 'Industrial and Production Engineering': 'Full accreditation', 'Mechanical Engineering': 'Full accreditation', 'Petroleum Engineering': 'Full accreditation'}, 'Faculty of Environmental Design and Management': {'Architecture': 'Full accreditation', 'Estate Management': 'Full accreditation', 'Urban and Regional Planning': 'Full accreditation'}, 'Distance Learning Centre': {'B.A. History': 'Accredited', 'B.Sc. Sociology': 'Accredited', 'B.Sc. Computer Science': 'Accredited', 'B.Ed. Adult Education': 'Accredited', 'B.Ed. Guidance and Counselling': 'Accredited', 'B.Ed. Educational Management': 'Accredited', 'BLIS. Bachelor of Library and Information Science': 'Accredited', 'B.A Communication and Language Arts': 'Accredited', 'B.Sc. Statistics': 'Accredited'}}"
List of Cafeterias and Food Places at the University of Ibadan,List of Cafeterias and Food Places at the University of Ibadan; UI Cafeterias; Uni Ibadan Cafeterias; Univesity of Ibadan Cafeterias; University of Ibadan Food Places; Dining Options; Cafeteria List; List of cafeteria; cafeteria; Food Outlets; University of Ibadan Eateries,"{'category': 'Hostel Cafeterias', 'cafeterias': [{'name': ""Tedder Hall's 'Klazz' Cafeteria"", 'details': 'One of the best among hostels, popular among students.', 'price_range': 'Affordable, but not specified.'}, {'name': ""Bello Hall GSK's Cafeteria"", 'details': ""Famous for its 'Amala and Gbegiri with Ewedu'."", 'price_range': 'Reasonable, but not detailed.'}, {'name': 'Mellamby, Kuti, and Indy Hall Cafeterias', 'details': 'Less popular but still provide basic meals.', 'price_range': 'Generally low, but specific figures not available.'}, {'name': 'Zik Hall Cafeterias', 'details': 'Boluid serves better swallow portions, New Flava offers better rice and spaghetti.', 'price_range': 'Varies, but generally affordable.'}]} | {'category': 'General Cafeterias', 'cafeterias': [{'name': 'Archive Cafeteria', 'details': 'Located behind the Chapel of Resurrection, known for its satisfying meals.', 'price_range': 'Reasonable, but not specified.'}, {'name': 'Animal Science Basement', 'details': 'Popular for beans and bread snack.', 'price_range': 'Typically low, often less than ₦500.'}, {'name': 'Crop Protection and Environmental Biology Canteen', 'details': 'New and well-received for its meals.', 'price_range': 'Affordable, but not detailed.'}, {'name': 'Abdulsalam Postgraduate Hall Canteen', 'details': 'Known for its evening bread and akara.', 'price_range': 'Often less than ₦500.'}, {'name': 'Obafemi Awolowo Hall Cafeteria', 'details': 'Offers healthy meals with dining options.', 'price_range': 'Reasonable, but not specified.'}, {'name': 'Students Union Building (SUB) Eateries', 'details': 'Several eateries offering a variety of meals.', 'price_range': 'Varies, but generally affordable.'}]} | {'category': 'Specialty and Grilled Food Spots', 'cafeterias': [{'name': 'Matti Grills', 'details': 'Offers grilled meals.', 'price_range': 'Reasonable, but not detailed.'}, {'name': ""Neche's Kitchen"", 'details': 'Provides a variety of meals for students.', 'price_range': 'Affordable, but not specified.'}, {'name': 'Flamez Kitchen and Grills', 'details': 'Offers grilled and other meals.', 'price_range': 'Reasonable, but not detailed.'}, {'name': 'Bisola Pepper Soup - UI', 'details': 'Specializes in pepper soup and local dishes.', 'price_range': 'Typically low, but not specified.'}, {'name': 'Bisola Food Place - UI', 'details': 'Offers a range of traditional Nigerian meals.', 'price_range': 'Generally affordable.'}, {'name': 'EWA AGOYIN by BISOLA', 'details': 'Known for its Ewa Agoyin breakfast dish.', 'price_range': 'Typically low, often less than ₦500.'}, {'name': 'B & B', 'details': 'Offers breakfast and other meals.', 'price_range': 'Reasonable, but not specified.'}]} | {'general_price_ranges': {'basic_meals': 'A few hundred to a few thousand naira per meal.', 'snacks': 'Beans and bread, akara, etc., often less than ₦500.', 'swallow_meals': 'Prices vary due to inflation (e.g., a wrap of fufu might cost around ₦200).'}}"
"What is the breakdown of the cost of private off-campus accommodations in Ibadan, Nigeria?",Breakdown of private off campus accommodations cost; Ibadan private housing cost breakdown; Cost of off campus accommodations; Private housing cost analysis Nigeria; Ibadan accommodation cost breakdown; Off campus housing prices; private accommodation cost details; private accommodation; off hostel cost; off campus cost; off campus accommodation; off hostel accommodation,"{'accommodation_types': {'apartments': {'2-bedroom': '₦400,000 - ₦700,000 per annum', '3-bedroom': '₦600,000 - ₦1,500,000 per annum'}, 'bungalows_and_duplexes': {'3-bedroom_bungalow': '₦650,000 - ₦2,500,000 per annum', '3-bedroom_duplex': '₦700,000 - ₦2,000,000 per annum', '4-bedroom_duplex': '₦3,000,000 - ₦5,000,000 per annum'}, 'mini_flats_and_bedsitters': {'price_range': 'Generally lower, details unavailable'}}, 'factors_influencing_prices': {'location': {'premium_areas': ['Jericho GRA', 'Agodi GRA', 'Oluyole Estate'], 'affordable_areas': ['Moniya', 'Ologuneru']}, 'amenities': ['POP ceilings', 'Kitchen cabinets', 'Security guards'], 'condition_of_property': 'Newly built or well-maintained properties cost more'}, 'additional_costs': {'agency_fees': 'Typically 10% of annual rent', 'caution_fees': '₦50,000 - ₦200,000 depending on property', 'utilities': 'Electricity, water, and internet services are paid separately'}}"
What are the accommodation costs and living expenses at the University of Ibadan?,Accommodation costs and living expenses at University of Ibadan; accommodation fees; University of Ibadan living expenses; housing and living costs; Cost of living; Accommodation and living cost; accommodation cost; University of Ibadan accommodation expenses,"{'accommodation_costs': {'undergraduate_hostel_fees': {'fresh_students': '₦60,000', 'returning_students': {'general': '₦45,000', 'ABH_occupants': '₦60,000'}}, 'postgraduate_hostel_fees': {'abdulsalami_abubakar_hall': {'one_man_room': '₦175,000', 'two_man_room': '₦87,500', 'three_man_room': '₦62,500'}, 'obafemi_awolowo_hall': {'one_man_room': '₦120,000', 'two_man_room': '₦80,000'}, 'adetowun_ogunsheye_postgraduate_hall': {'one_man_room': '₦150,000', 'two_man_room': '₦100,000'}, 'ayodele_falase_hall': {'one_man_room': '₦75,000 per semester', 'two_man_room': '₦50,000 per semester'}}}, 'living_costs': {'food': {'cafeteria_meals': '₦500 - ₦2,000 per meal', 'groceries': '₦30,000 - ₦50,000 per month'}, 'transportation': {'public_transport': '₦100 - ₦300 per trip', 'fuel': '₦600 per liter (subject to change)'}, 'utilities': {'electricity_and_water': '₦5,000 - ₦15,000 per month', 'internet_services': '₦10,000 - ₦20,000 per month'}, 'other_expenses': {'mobile_phone_recharge': '₦3,000 - ₦10,000 per month', 'entertainment_and_leisure': '₦5,000 - ₦15,000 per outing'}}, 'general_expenses': {'basic_meals': '₦500 - ₦2,000', 'snacks': 'Less than ₦500', 'transportation_off_campus': 'Varies significantly based on distance and mode', 'acceptance_fee': '₦50,000'}}"
libraries at the University of Ibadan,libraries at the University of Ibadan; University of Ibadan libraries; libraries; Campus libraries UI; Library facilities at UI; library services; List of libraries University of Ibadan,"{'name': 'Latunde Odeku Medical Library', 'location': 'College of Medicine, about 8 kilometers from the main campus.', 'details': 'Serves the medical community with specialized resources.'} | {'name': 'School of Business Library', 'location': 'Ajibode extension of the university campus.', 'details': 'Primarily serves postgraduate students.'} | Agriculture/Renewable Natural Resources Library | Faculty of Arts Library | Faculty of Clinical Sciences Library | Faculty of Education Library | Faculty of Law Library | Faculty of Pharmacy Library | Faculty of Public Health Library | Faculty of Science Library | Faculty of Technology Library | Faculty of The Social Sciences Library | Faculty of Veterinary Medicine Library | Africa Regional Centre for Information Science (ARCIS) Library | Institute of African Studies Library | Institute of Education Library | Institute of Peace and Strategic Studies (IPSS) Library | WORDOC Library"
accommodation types or apartments at the University of Ibadan,accommodation types or apartments at the University of Ibadan; accommodation types; University of Ibadan apartments; UI apartments; University housing options; Off campus apartments; accommodation options; Private apartments,"{'2-bedroom': '₦400,000 - ₦700,000 per annum', '3-bedroom': '₦600,000 - ₦1,500,000 per annum'} | 3-bedroom_bungalow: ₦650,000 - ₦2,500,000 per annum | 3-bedroom_duplex: ₦700,000 - ₦2,000,000 per annum | 4-bedroom_duplex ₦3,000,000 - ₦5,000,000 per annum"
factors influencing prices location at the University of Ibadan,factors influencing prices location; University of Ibadan location factors; pricing factors by location; Location impact on prices; Price factors based on location UI; cost variation by location; Location based pricing University of Ibadan,"{'premium_areas': ['Jericho GRA', 'Agodi GRA', 'Oluyole Estate'], 'affordable_areas': ['Moniya', 'Ologuneru']}"
factors influencing prices amenities at the University of Ibadan,factors influencing prices amenities; amenities impact on prices UI; University of Ibadan amenities cost factors; amenities pricing influence; amenities factors University of Ibadan; cost influenced by amenities; amenities pricing,POP ceilings | Kitchen cabinets | Security guards
factors influencing prices condition of property at the University of Ibadan,factors influencing prices condition of property; University of Ibadan property condition; property condition cost impact; property condition price influence; cost factors based on property condition; condition of property pricing; agency feeUniversity of Ibadan pricing property condition,"Newly built or well-maintained properties cost more | Agency fee Typically 10% of annual rent | Additional cost ₦50,000 - ₦200,000 depending on propertyElectricity, water, and internet services are paid separately"
accommodation costs for undergraduate hostel fees at the University of Ibadan,accommodation costs for undergraduate hostel fees at University of Ibadan; undergraduate hostel fees; hostel accommodation costs; hostel fees; Undergraduate accommodation cost; Hostel fees University of Ibadan; student hostel fees,"{'fresh_students': '₦60,000', 'returning_students': {'general': '₦45,000', 'ABH_occupants': '₦60,000'}}"
accommodation costs for postgraduate hostel fees at the University of Ibadan,accommodation costs for postgraduate hostel fees at University of Ibadan; postgraduate hostel fees; postgraduate accommodation costs; postgraduate hostel fees; hostel costs for postgraduates; postgraduate accommodation fees; University of Ibadan postgraduate hostel pricing,"{'abdulsalami_abubakar_hall': {'one_man_room': '₦175,000', 'two_man_room': '₦87,500', 'three_man_room': '₦62,500'}, 'obafemi_awolowo_hall': {'one_man_room': '₦120,000', 'two_man_room': '₦80,000'}, 'adetowun_ogunsheye_postgraduate_hall': {'one_man_room': '₦150,000', 'two_man_room': '₦100,000'}, 'ayodele_falase_hall': {'one_man_room': '₦75,000 per semester', 'two_man_room': '₦50,000 per semester'}}"
living costs at the University of Ibadan,living costs at the University of Ibadan; living expenses; cost of living; living costs; UI expenses; University living expenses; Living expenses University of Ibadan,"cafeteria_meals: ₦500 - ₦2,000 per meal | groceries: ₦30,000 - ₦50,000 per month | public_transport: ₦100 - ₦300 per trip | fuel ₦600 per liter (subject to change) | electricity_and_water: ₦5,000 - ₦15,000 per month | internet_services: ₦10,000 - ₦20,000 per month | mobile_phone_recharge: ₦3,000 - ₦10,000 per month | entertainment_and_leisure: ₦5,000 - ₦15,000 per outing"
General expenses at the University of Ibadan,General expenses,"Snacks: Less than ₦500 | Transportation: Varies significantly based on distance and mode | Basic meals: ₦500 - ₦2,000 | Acceptance fee: ₦50,000"
Kenneth mellanby hall at the University of Ibadan,Kenneth Mellanby Hall; University of Ibadan student accommodation; Male hostel; Campus residences; Hostel facilities; Kenneth Mellanby,"{'location': 'North of the University Court', 'capacity': 550, 'features': 'One of the oldest hostels, named after the first Principal of the University College, Ibadan.'}"
Kuti hall at the University of Ibadan,Kuti Hall; kutihall,"{'location': 'Eastern end of Niger Road', 'capacity': 554, 'features': 'Named after the Late Rev. Israel Oladotun Ransome-Kuti.'}"
Sultan bello hall at the University of Ibadan,Sultan Bello Hall; sultan bello,"{'location': 'West of Kuti Hall along Niger Road', 'capacity': 468, 'features': 'Named after the grandfather of the Late Sir Alhaji Ahmadu Bello.'}"
Obafemi awolowo hall at the University of Ibadan,Obafemi Awolowo Hall; obafemi awolowo,"{'location': 'Off Barth Road', 'capacity': 1500, 'features': 'The largest female hall in West Africa, also accommodates postgraduate students.'}"
Lord tedder hall at the University of Ibadan,Lord Tedder Hall; lord tedder,"{'location': 'Not specified', 'features': 'Known for its vibrant student life.'}"
Nnamdi azikiwe hall at the University of Ibadan,Nnamdi Azikiwe Hall; nnamdi azikiwe,"{'location': 'Not specified', 'features': ""Named after Nigeria's first president.""}"
Independence hall at the University of Ibadan,Independence Hall; independencehall,"{'location': 'Not specified', 'features': ""Celebrates Nigeria's independence.""}"
Queen idia hall at the University of Ibadan,Queen Idia Hall; queen idia,"{'location': 'Not specified', 'features': 'Named after a historical figure from Benin.'}"
Queen elizabeth hall at the University of Ibadan,Queen Elizabeth Hall; queen elizabeth,"{'location': 'Not specified', 'features': 'Named after the British monarch.'}"
Tafawa balewa hall at the University of Ibadan,tafawa balewa hall; Tafawa Balewa Hall,"{'location': 'Along El-Kanemi Road, behind Sultan Bello Hall', 'capacity': 207, 'features': ""Named in commemoration of Nigeria's independence.""}"
Abdulsalami abubakar hall at the University of Ibadan,Abdulsalami Abubakar Hall; abdulsalami abubakar,"{'location': 'Along Barth Road, opposite Idia Hall', 'capacity': 684, 'features': 'Offers accommodation for postgraduate students.'}"
Shared facilities at the University of Ibadan,Shared restrooms; shared rooms; Basic amenities; solar power,Most hostels have shared toilets and bathrooms. | Rooms often accommodate multiple students. | Access to university facilities like libraries and sports centers. | Some hostels may have solar-powered lighting and charging points for phones and laptops.
Transportation options at the University of Ibadan,transportation options; tricycles; student commuting; On campus mobility; Taxis; Public transport; walking ui,"Tricycles is the primary mode of transportation on campus, replacing motorcycles for safety reasons. | Taxis are available for longer distances or charter services. | Walking is preferred by many students due to the campus's layout and proximity of facilities."
transportation costs at the University of Ibadan,tricycle fares; transport expensestransportation costs,"{'Tricycle: standard_routes': '₦150 - ₦250, depending on the destination.', 'charter_services': 'Prices vary based on distance and negotiation.', 'group_rides': 'Higher fares for more than two passengers, often around ₦400 for a group.'} | Taxis are generally more expensive than tricycle fares, but specific rates are not detailed."
safety and regulations motorcycle replacement at the University of Ibadan,safety and regulations; motorcycle replacement; Bike and motorcycle ban; Traffic rules,Motorcycles have been replaced with tricycles for safety reasons. | Implemented to reduce accidents and criminal activities on campus.
food costs and groceries at the University of Ibadan,cafeteria meals; food costs; groceries cost,"₦500 - ₦2,000 per meal. | ₦30,000 - ₦50,000 per month for a single person. | Snacks: Generally affordable, often less than ₦500 (e.g., beans and bread, akara)."
internet costs at the University of Ibadan,mobile data; internet costs,"Mobile data: ₦3,000 - ₦10,000 per month for reliable data plans. | Broadband Internet: ₦10,000 - ₦20,000 per month for shared accommodations."
utilities bills at the University of Ibadan,utilities bills; electricity and water bills; solar bills; mobile phone recharge,"Electric and water bills: ₦5,000 - ₦15,000 per month for average usage. | Solar bills: Some hostels have solar-powered lighting and charging points for phones and laptops. | Mobile phone recharge: ₦3,000 - ₦10,000 per month."
Recent fee increases and new intakes at the University of Ibadan,recent fee increases; new intakes,"Recently increased fees range from ₦203,000 to ₦412,000, depending on the course."
administrative services at the University of Ibadan,administrative data processing unit; administrative services,"{'Data processing Unit': 'Issuance and processing of student forms, matriculation oaths, and bio-data forms.', 'contact': ""Available through the university's official website.""}"
Certificate room section at the University of Ibadan,certificate room section; administrative services; Graduation documents; Student certification,"{'Certificate room section': 'Custody and issuance of university certificates, printing of blank certificates, and calligraphic scripting.', 'contact': 'Part of the Examinations Unit.'}"
Central store at the University of Ibadan,central store; administrative services; University of Ibadan inventory management; Procurement services,"{'Central Store': 'Production and maintenance of academic outfits, custody of examination materials.', 'contact': ""Available through the university's official website.""}"
Bursary unit at the University of Ibadan,bursary unit; bursary; administrative services; Tuition and billing; Student fees payment; Grants and funding; Financial records,"{'Bursary': 'Financial management and services.', 'contact': 'Bursary Unit, University of Ibadan.'}"
Health support services at the University of Ibadan,university health services; support services; Health Support services,"{'Health Support services': 'General outpatient clinic, specialized medical services.', 'contact': ""Available through the university's official website.""}"
ICT support services at the University of Ibadan,ict support; support services; ict support service; Technical assistance; E-learning support,"{'ICT support services': 'IT infrastructure management and support.', 'contact': ""Part of the university's administrative centers.""}"
Contact details at the University of Ibadan,contact details; Official email; Student support email; University services email; UI helpdesk; general enquiries; University of Ibadan website; Official UI website; Support channels,"{'main_contact': '+234 809 810 3043', 'registry_unit': '+234 02-8103043', 'general_enquiries': ""Use the contact form on the university's website."", 'information_technology_unit': 'support@com.ui.edu.ng', 'Website': 'www.ui.edu.ng', 'live_chat': 'Available from 9:00 AM to 4:00 PM', 'enquiries_team': 'Contact through the Postgraduate College website.', 'phone_lines': {'head_of_unit_office': '0262837103', 'software_sub_unit_office': '0262837313', 'network_sub_unit': '0262837023', 'training_and_hardware': '0262837323'}}"
Counseling services at University of Ibadan,department of guidance and counselling; counseling services; University of Ibadan counseling services; Career guidance; Student support; Psychological services,"{'services': ['Career counseling', 'Educational and school counseling', 'Marriage and family life counseling', 'Remedial and reformatory counseling', 'Assessment and testing', 'Youth and adolescent counseling', 'HIV/AIDS prevention counseling', 'Developmental psychology', 'Clinical psychology', 'Personnel psychology'], 'contact': ""Available through the university's official website""}"
